NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;2:38.490;0;;;0;;0;1:07.602;0;132.7;2:38.490;11:06:40.993;;;1:07.602;;Lorenzo CASTILLO;;R;;Saintéloc Racing;;SF;;;67.602;
10;1;2;3:44.801;0;;1:14.451;0;1:04.122;0;1:26.228;0;93.6;6:23.291;11:10:25.794;1:14.451;1:04.122;1:26.228;153.2;Lorenzo CASTILLO;;R;;Saintéloc Racing;;SF;74.451;64.122;86.228;
10;1;3;3:00.673;0;;52.917;0;51.621;0;1:16.135;0;116.4;9:23.964;11:13:26.467;0:52.917;0:51.621;1:16.135;155.4;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;52.917;51.621;76.135;
10;1;4;2:03.314;0;;34.467;0;37.996;0;50.851;0;170.5;11:27.278;11:15:29.781;0:34.467;0:37.996;0:50.851;236.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;34.467;37.996;50.851;
10;1;5;2:03.296;0;;33.951;0;38.500;0;50.845;2;170.6;13:30.574;11:17:33.077;0:33.951;0:38.500;0:50.845;231.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.951;38.500;50.845;
10;1;6;2:03.009;0;;33.625;0;38.020;0;51.364;0;171.0;15:33.583;11:19:36.086;0:33.625;0:38.020;0:51.364;229.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.625;38.020;51.364;
10;1;7;2:03.927;0;;33.678;0;37.908;0;52.341;0;169.7;17:37.510;11:21:40.013;0:33.678;0:37.908;0:52.341;230.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.678;37.908;52.341;
10;1;8;2:02.775;0;;33.400;0;37.792;2;51.583;0;171.3;19:40.285;11:23:42.788;0:33.400;0:37.792;0:51.583;232.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.400;37.792;51.583;
10;1;9;2:02.949;0;;33.645;0;37.952;0;51.352;0;171.1;21:43.234;11:25:45.737;0:33.645;0:37.952;0:51.352;229.8;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.645;37.952;51.352;
10;1;10;2:03.091;0;;33.716;0;37.947;0;51.428;0;170.9;23:46.325;11:27:48.828;0:33.716;0:37.947;0:51.428;231.3;Lorenzo CASTILLO;;R;;Saintéloc Racing;;GF;33.716;37.947;51.428;
